balloon_id,latitude,longitude,altitude,speed_kmh,direction_deg,speed_kmh_1h,speed_kmh_2h,speed_kmh_4h,speed_kmh_5h,speed_kmh_6h,speed_kmh_7h,speed_kmh_12h,speed_kmh_13h,speed_kmh_15h,direction_deg_1h,direction_deg_2h,direction_deg_4h,direction_deg_5h,direction_deg_6h,direction_deg_7h,direction_deg_12h,direction_deg_13h,direction_deg_15h,wind_speed,wind_direction,predicted_speed_kmh,predicted_direction_deg
balloon_0,-26.895563896315753,49.79829731703841,17.125952653771144,15.576340318144494,242.73003950893428,15.576340318144494,93.770676971445,95.5176613545548,96.9162364292996,97.89500178063788,98.64172742315924,99.42008299724952,99.4468697910256,98.92931766833108,242.73003950893428,242.54762122732512,242.83689709915427,242.92631248346908,242.80291599008885,242.31137855553456,239.21627498770343,236.83197344268592,234.43888713610045,28.008000000000003,104,15.534376327546763,242.7910829379216
balloon_1,-16.69567381168317,129.61390887992238,13.767596328506189,6.873159234696922,340.8500862032683,6.873159234696922,40.95506681059618,39.644968010861746,38.64826642283408,37.849546434421214,37.12996958993688,35.67550065866393,35.16714157206914,34.857391777832305,340.8500862032683,340.90521592793465,344.3967940800883,348.13294650033407,350.8297206343699,353.58599877141455,1.4479417083676935,10.065928337614023,13.82976624447133,2.232,183,6.865135776465935,340.7423569022201
balloon_2,14.983411058592868,21.737352489760397,12.295962876339072,74.16786376981548,255.53324425339403,74.16786376981548,443.64844413554823,439.0441046210231,433.08185033425457,428.6774585901446,423.4832423102694,403.9582941206257,381.21975204003894,367.7182260096147,255.53324425339403,255.8807140248715,256.1113161140034,255.71713117419543,255.9038230215595,256.2047840283563,258.7879836272381,260.1183237021899,261.7076091410051,28.836,91,74.08738157190537,255.73425653500883
balloon_3,-83.74826044455956,163.0929791006738,10.389824831695192,3.652365911000391,183.80921401634623,3.652365911000391,23.648633334669256,24.936662292787624,26.327081876074175,27.425427851451847,28.385446507038417,31.241917893792493,34.024094024836856,35.36201818181842,183.80921401634623,185.26863606528156,189.4536624816729,193.96193126320833,197.0220512942055,200.1914166497691,208.36099240117264,225.5129964138567,232.41613026571943,9.828,265,3.6654843226788314,183.91940182722382
balloon_4,-5.076247800875098,-70.54686151157806,13.81650824032904,21.784836574933536,216.32030744468435,21.784836574933536,123.4686660832675,103.99690715075518,84.10755679840044,71.06058980894757,57.82888328675906,25.29033504742523,39.39750320289777,58.5280148935434,216.32030744468435,216.78913352545956,218.2686821104159,220.76926912845164,223.6705600992384,227.96986941146625,269.59044509242005,349.3443214649911,1.8610648161380257,3.24,69,21.79014115174532,216.39482139596424
balloon_5,-68.26535769529563,-161.20136418055012,3.844175937689986,38.15044973788133,304.0277573464702,38.15044973788133,228.71102920293797,228.34423003073627,227.59923229137027,226.44140904500452,224.9664882998157,216.9347058299125,208.4125476338266,202.2134626725205,304.0277573464702,301.93306099792454,298.97065992385745,299.7518721502064,298.8007054115506,297.87023069147955,288.6929888847999,291.6797535002747,288.94753864823275,42.192,246,38.16801418934746,303.96965904239516
balloon_6,28.64383473816413,36.41310220439555,15.036497578210891,42.43299048981361,189.1682662496879,42.43299048981361,261.1030217990703,274.93662344423274,287.99862106666336,296.88228023666585,304.9852613716142,327.2349101195672,347.0780908339009,355.4792067651989,189.1682662496879,190.42116892550047,193.0980589685157,195.36660283860525,196.93023797599955,198.3644450063126,202.8870041282769,206.42498239850187,208.31273382161197,2.628,85,42.4055075807224,189.24046385311124
balloon_7,-56.45343883335571,51.458676926832304,2.079486896988703,14.929078011982549,172.21393307932487,14.929078011982549,87.16331435169496,83.78697607887077,81.40232971188051,80.57855882423716,80.47617090181951,83.22762979911248,89.99021619720008,94.38358708358038,172.21393307932487,169.45488080025564,162.37661197538603,154.37394537151363,148.93019537245976,143.32425253095596,128.9201452241278,111.82528455893912,105.7976698210399,33.588,275,14.90768498268642,171.96522028013223
balloon_8,-28.980711840720296,-96.13525603239408,2.056467946252729,26.58738246626648,284.4368781905384,26.58738246626648,155.92969503617255,144.94940352082963,134.67229007121625,128.19756161498185,121.28066091864544,102.57363690058372,89.3907603695229,83.77631060787762,284.4368781905384,288.27110920413793,298.3640968802938,309.19120397050597,316.19227922554705,323.1689301445766,343.25435659969094,5.5755171434203135,16.351724646621392,29.376,99,26.58372113691056,284.6060620809003
balloon_9,8.018640674841166,37.00140919617043,13.568704256228743,59.136365431719945,142.64126078058206,59.136365431719945,360.6877367932838,376.0546402726071,390.4650954387803,399.6660945010474,408.0473319131572,429.68658947542065,448.7867507782371,456.04679305582096,142.64126078058206,144.1407933011185,148.05111429576004,151.87133820419126,154.27787010134864,156.56496888507536,163.87758781246862,169.1189223859799,172.23747155362082,2.8800000000000003,108,59.272072976526516,143.01354630401872
balloon_10,-18.99142062363559,18.388330606005507,20.70003597265484,4.702423085900472,126.92559156849563,4.702423085900472,27.851613337674525,27.14028151961354,31.897267850378466,36.95757915440705,43.244713099704555,64.5185911410236,87.78255981025336,99.59402974336304,126.92559156849563,134.47369671199607,160.19577415220328,182.67055730137224,193.6925334569447,201.74612463492628,217.16772243305965,226.10329304160743,229.696708575144,5.436,257,4.701040836684387,127.61661560512366
balloon_11,26.81865631701763,74.61200941383515,2.1656517205530896,44.02551447883044,267.87113785174824,44.02551447883044,261.6185177286283,256.21489937969756,249.7484063007169,245.07044890326767,239.9523822287628,221.9625136881262,201.46707569789908,190.3237649189341,267.87113785174824,268.33728983898453,268.55603713663584,267.49841045074265,267.0018599366948,266.4585218131773,266.27867707714864,261.4356614142724,259.9474605966073,18.432,124,43.94633062270311,268.03221801703603
balloon_12,-31.02205410581041,-84.58876816809183,20.341764266029752,15.355628158391946,19.504161062698984,15.355628158391946,94.14458178975887,97.2680024983897,100.66080858744904,102.78566847924564,104.9993296898019,110.56680261722548,116.02755320695798,118.12779388992736,19.504161062698984,17.464390167455406,13.667987980802422,9.846407643348073,7.451931945627678,5.0837338302228545,358.3745320995477,352.25598363822786,349.37799619057296,29.736,135,15.362568448749755,19.15481717068745
balloon_13,68.70765061778425,-6.437593383680608,19.540614893500173,10.255470501644025,208.21819146649665,10.255470501644025,63.55284887205633,70.31184796958128,78.23742051481723,83.48428022124756,88.89860459441766,103.5233020873318,116.02811688733438,121.10175613533404,208.21819146649665,212.6104683567048,220.28078200729553,223.97473894201883,225.41466185765424,225.96152619789075,225.46369570542532,216.69285400366843,212.75172118997537,23.472,31,10.304069321342503,208.46219015215007
balloon_14,-5.86574123979273,60.17422682382665,4.023632273648115,26.123821715665574,345.3443470079522,26.123821715665574,153.64139601934002,143.85295646045205,133.8505614961198,127.52816854474742,120.93181989353891,102.05791420887566,85.6146264528478,77.56513485859226,345.3443470079522,343.14727022443,337.14335378956144,331.2193214653139,327.1004544580001,323.1673015611009,311.2786770796009,297.9569211182398,291.0715030790497,15.912,347,26.155281604260967,345.19143385814976
balloon_15,-14.574571625741594,-132.03303084302064,18.630232007692175,21.19819832807068,136.64643902250805,21.19819832807068,127.74236604017617,129.16930041658927,130.37278944004666,130.7954511639985,131.13432574884376,131.19001251935293,130.13385404272546,128.91331783446742,136.64643902250805,136.78511008203816,136.8697436017511,136.88030418148247,136.87662907352382,136.9808997115805,138.0531069087212,138.022119649873,138.5108450853392,18.468,103,21.238987600982995,136.6232187999894
balloon_16,-52.36598942156824,2.362365629217247,21.15723882395624,16.60374527681688,281.56628351664494,16.60374527681688,103.11372350826448,112.48760980053711,122.2482428194334,128.82826877254703,135.4231831393478,153.93429337318142,171.1244473441245,178.65342420428993,281.56628351664494,283.9229542300409,289.47307133377933,295.4063652665315,298.3243713036911,300.95351030458335,304.49358278841976,311.16636756907747,311.84166857191894,30.780000000000005,248,16.603013297685745,281.6275457032662
balloon_17,-12.550970600266425,-20.121144370103288,3.0675870444174063,14.604984508798616,243.09970250794424,14.604984508798616,85.32344685418754,82.4817213409724,79.11776381140487,76.680348841403,73.83016788932414,64.40771428211721,53.88826055065489,48.00424975479576,243.09970250794424,245.08214270558673,249.76461560184833,254.34690131936992,256.82792518054737,259.3193449958982,264.0347014414648,267.06596006877925,266.60522175453184,24.228,111,14.508835160752263,243.04885795346954
balloon_18,22.83091839155872,70.08938175839053,20.671021716983645,16.78141613664693,93.64458765506988,16.78141613664693,100.25298866355138,101.03041989163384,101.35140803438134,101.94128040253644,101.95808545808715,102.59235544108311,102.86036395684316,102.80774027082242,93.64458765506988,93.35739175543335,92.58398238061376,92.32909891947048,92.02022077178448,91.912912582461,90.74076970978932,91.51003957259768,91.4824135044845,8.352,260,16.783589514484007,93.67233453233186
balloon_19,-6.449776172944946,57.216837294918726,6.214031459718256,19.932547054365017,174.67494290287175,19.932547054365017,123.36032754676047,136.02411166800667,149.97210000048815,160.12321018809322,170.5926599877323,203.5204392632332,241.02747356344855,259.630194349912,174.67494290287175,171.70452571161513,163.57197810260016,155.71848393315554,150.5838866111667,145.60879182480926,130.4835797583446,114.86675155648646,107.14552513389803,18.072,349,19.93170761564759,174.66603939487763
balloon_20,-28.496996219391484,61.83429682645098,3.2679167649950607,12.311904604203002,30.391477638006737,12.311904604203002,74.23705914245453,72.64387488295866,71.06307974615684,69.73373051357412,69.05780531694302,66.27166441104876,64.25629695158659,63.50470726941716,30.391477638006737,29.271388839711847,27.017155257136608,24.342860159758175,22.60590495004101,20.83458723562461,15.122758347920694,8.590293976776138,5.254964474316921,22.428,101,12.317558274765553,30.31672835636071
balloon_21,54.37926588252002,145.16957626952873,2.759536766743521,33.13045769297758,193.21335058280644,33.13045769297758,200.3568052575804,201.3329997694869,201.81882741048295,201.94580936828615,201.6277127279396,198.90344947590384,194.47882866134248,191.09352452920535,193.21335058280644,192.4765914528469,190.31991934327823,187.9468076514246,186.66645529064212,185.39150433136555,182.43908781986124,179.4958020519067,178.42215308908942,45.9,37,33.14247507515408,193.4166717925769
balloon_22,-8.911846552296755,62.28403633035195,20.346250945686112,6.664533552955251,229.28352716549597,6.664533552955251,39.330192994630934,39.4952561252904,39.39463683223411,39.517935226569655,39.39819344370039,39.500203456214074,39.74647251397501,39.53843623444179,229.28352716549597,229.358526431666,229.15407771249204,228.76374089395384,228.65350177826815,228.45027083310043,227.80423431112595,227.5828279573123,227.22587590339575,16.344,271,6.6302071115103445,229.60508469590732
balloon_23,-18.22191050618504,34.63589983300098,21.65732480593837,10.117831323797756,195.624760253355,10.117831323797756,60.57367551610828,60.430125012843455,60.407568362511675,60.43413902194695,60.10691970059846,60.22072088745515,60.290355423634026,60.122309093879906,195.624760253355,195.93126425269833,195.15978885114689,194.23912487034653,193.7050949252795,193.20555499615512,191.623560825553,190.42163623322247,189.73477386765003,4.212,213,10.12163187363278,196.277043644666
balloon_24,42.56999415125003,-126.91355940047222,13.602203686348794,16.648750712748665,211.81435277564395,16.648750712748665,99.30193943268966,97.71073846652348,95.78747088467048,94.39098574798786,92.90576135352296,87.57703817348153,81.6553471874055,78.68317604268361,211.81435277564395,210.95856559659077,207.4260775992784,203.82065009354267,201.39638310719013,199.07053194267283,192.90485772438188,186.0153797647359,182.9490699737189,33.696,252,16.652215204689025,211.77023778906198
balloon_25,65.51345658900794,165.39176687236625,20.8793753040929,14.27484171521216,109.47396291407624,14.27484171521216,85.36554796671149,85.18382986207556,85.24966904141648,85.44531826076332,85.66264497750922,87.02199405535414,90.7655887557735,93.07320279559104,109.47396291407624,108.28616955276392,104.7508065788718,102.34216621998502,99.99963845531543,97.34367391673128,85.5402032994474,79.68314591628143,74.2254273622957,5.9399999999999995,48,14.274740576506826,109.57887804206295
balloon_26,-20.870290534737936,156.8018563506126,13.986384539857978,19.711606664329828,131.27865860442364,19.711606664329828,112.35111009795978,100.10447761360396,88.67331272437531,81.96904080067188,76.01326016879817,64.91468475145892,67.08902930611134,72.76110738509082,131.27865860442364,133.1117106219997,138.41769022721525,144.75363971040508,149.90073694764214,156.24184515495983,179.70401278854854,205.77021742848183,216.79174875417812,23.328000000000003,173,19.735486485816143,131.50208364120243
balloon_27,-19.613635320311666,-102.43024112066584,3.1777958358895617,79.2112099229665,261.506264429147,79.2112099229665,472.76746996194373,464.5697241106475,455.0531491688747,448.4192610419185,440.68380085589774,413.9090588285824,384.1898246205167,367.2035982003035,261.506264429147,260.84682654905225,259.8520110053725,260.52001667092105,260.42845512225335,260.44907906608495,257.1819814280175,260.8079690279311,260.1630521363026,19.728,100,79.07123605553629,261.788650682429
balloon_28,-12.611841445916957,-96.60806677597198,21.36846771480267,8.142874991519278,342.1880016324101,8.142874991519278,50.05834605373557,53.13194622607027,56.366504715160445,58.38927103482116,60.63109935365069,66.78020758038913,73.08272725288252,76.19255177395802,342.1880016324101,339.6520687575197,334.30643587919764,329.1288593097605,325.739336061858,322.49855748422357,312.2640897580016,302.8951710366369,297.9868441267831,32.328,115,8.113021389120517,341.99358373376367
balloon_29,-39.50658894416589,28.94930231200444,21.818401375471986,18.74472047296903,281.06692346050636,18.74472047296903,104.88196839230028,88.10218650855376,74.6370632990986,68.63888217152149,66.39539724465617,82.67631344749225,120.1803955288266,142.16636793802851,281.06692346050636,283.81196974161145,293.82853827068055,308.76404843704483,321.30109532539285,335.2266798051141,13.396026827325784,33.31309446490752,39.30869373445108,14.436,220,18.636268943525803,281.40556705002905
balloon_30,-21.68543605045404,-35.41431630263664,7.617115478796452,5.083328615335571,166.59534794113313,5.083328615335571,29.43383839169533,28.04501658176203,26.74408548069866,25.906127021138374,25.00399306259241,22.727661455651457,20.87490377721156,19.884841404286032,166.59534794113313,164.13919813015443,158.88408394899022,153.27219494121914,149.45529902461453,145.5817309270319,134.2741236175209,121.97029718772431,115.68831235667028,23.184,58,5.044663177438265,167.25111934717722
balloon_31,14.699227320979231,105.98756342877464,5.210889487591792,44.08030606683107,28.253733944679368,44.08030606683107,270.88836761254396,284.9115271823485,298.65811032433436,307.26649905788173,315.6916675282896,338.2155486406933,359.5270902041062,368.02400009239193,28.253733944679368,26.42179055017016,22.230175854441995,18.53808347189255,15.992594329643566,13.450861138564562,5.293500513680954,358.49141295973357,354.49629760626595,0.468,356,44.047841869920916,28.314076029244276
balloon_32,-62.58954353075607,-138.11645115374498,10.468090410634028,8.48411241424949,333.38089997598536,8.48411241424949,50.969604100005434,50.5997179568302,51.83716970087155,53.36956367305673,56.07440130555428,67.28093211816805,83.45058852687602,92.7414496166046,333.38089997598536,337.6605044932143,347.57636650904294,358.1869434028969,5.121059371003753,11.791156903882609,29.853007050616725,41.51318016578091,46.86853886565234,46.332,236,8.495523563047154,333.44775873181754
balloon_33,32.19981875988172,17.011379932513716,4.438032567399535,35.68557006191631,210.2519064496092,35.68557006191631,210.56386868794084,203.73190381002095,196.43355514013663,191.1764040303983,185.5934954400026,167.54734556803896,147.94551500437328,137.34546231038166,210.2519064496092,210.12553382061017,209.59362684670657,208.52027367065244,208.07941947496371,207.6605311224927,206.7544026189757,204.7967944113827,204.0203267242076,14.94,321,35.72941012356428,210.58718338873769
balloon_34,-68.31222979915256,76.9327855698986,20.444236807061287,27.919823115929468,100.09386227002597,27.919823115929468,167.62951116126263,167.23659874286028,166.46850577379286,165.46281444214733,164.23876041491252,157.75230970140035,151.43289317119755,146.95386034479912,100.09386227002597,101.77837512728934,103.5617180862447,101.6244768529994,101.6331827298381,101.8536611062404,110.44580833652412,103.86341888783647,106.75630025240412,9.828,165,27.97451199790221,100.29094198196297
balloon_35,-47.092180234468856,115.19204015527232,8.58333344176194,13.934745216491455,232.25382499738183,13.934745216491455,83.72002023901861,83.8176553112979,83.91781908989581,84.10112522133007,83.9425979287801,84.33254588799775,84.33837653080242,84.51921677456401,232.25382499738183,232.96418812575712,234.6113619317261,236.87546292650543,237.96461834318777,239.23256553279188,240.36123263813352,244.44834679500107,244.78706647443263,36.36,279,13.938932714060584,232.17766404659554
balloon_36,-34.98578882079208,153.00857537279634,19.076731212846145,14.98481689112196,48.10059828471355,14.98481689112196,89.26506575675661,87.10466024266263,85.16760745178027,84.05699565572397,83.08762243679547,80.56631547924833,79.29347744686429,78.77089427319729,48.10059828471355,45.82539000462157,40.64334854370554,35.17741051108209,31.73777052391995,28.50704055066012,19.6796249327042,11.061299175899478,7.662288490105595,38.268,201,14.97217821791706,47.96460233487878
balloon_37,63.388524794229674,112.38168462676924,21.993502819769848,25.128450134901733,280.74530456980807,25.128450134901733,152.694747892081,156.89501324939934,160.898970849588,163.32793737351096,165.62932657762772,170.82383259987958,174.9296347870917,176.05123063248925,280.74530456980807,281.9154355137705,282.0794015624926,279.34438956487355,278.2089339850917,277.0576061398499,279.33983795749873,268.14485472161283,267.22470413357274,2.484,272,25.126181056386123,280.8435715602112
balloon_38,7.557669285843066,2.0287265628371824,3.418194765519054,21.899796147073673,254.03682889336775,21.899796147073673,142.08433451893072,171.40406391990356,200.4183873457362,219.5249052019176,238.4841193501687,293.0024508372916,345.212579689367,369.56389402185914,254.03682889336775,255.72952252245383,258.24005694718363,259.8556146484765,260.62723588346,261.36424802067324,263.2031174398701,263.52492716832217,263.895661527306,6.048,218,21.957869219617155,253.95287044673617
balloon_39,62.03593272641335,-49.62378977849876,21.940695225081356,38.7944777384272,310.51109496112065,38.7944777384272,227.6003944028863,214.519884900838,200.7087403455978,191.30333639573308,181.52547764048177,151.1289451578833,119.83175219383835,103.8596760195465,310.51109496112065,309.55147699275153,305.61161104205473,297.7960345539241,293.51860631554945,289.0358206562284,282.59626038782335,261.96869938725587,256.56318661318215,28.044,48,38.82572287611387,310.87261526055715
balloon_40,9.85037643021781,-148.29188313552268,7.436056844390418,92.24707836175232,92.61509256441298,92.24707836175232,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,92.61509256441298,93.22647249862013,95.12705955170397,97.70897685288548,99.04083128672464,100.2521855684355,102.24071452515648,104.73114198499206,105.0671412935434,27.756,69,91.77213124832706,92.58420481981666
balloon_41,62.35839114471184,110.26976050775332,5.3182644397712675,16.521275409958715,202.07186990779803,16.521275409958715,100.35771387137738,100.83812696584336,101.16642316911305,101.8234994075347,102.2005850321558,104.17946513799434,106.79656213274384,108.4215120023322,202.07186990779803,202.72693503576988,204.39802040183105,205.6838260520072,206.76739611626644,208.00142567568344,213.34209174374385,216.04444781661857,218.46468479405317,1.26,50,16.536963686037794,202.08471498737552
balloon_42,-33.07546239332204,-29.71336941316032,20.701668927031157,25.382453719578205,66.38065080945375,25.382453719578205,149.76728346729885,143.63219620165273,137.18174925486093,132.78244201708569,128.29131589803958,114.73775086242976,102.6413579512828,97.59480848851916,66.38065080945375,65.91561143366096,64.3137114182851,61.57601707569648,59.776914679676224,57.77366689134232,51.160808672357234,40.34953436141734,34.27814477454598,14.832,12,25.347881263513695,66.08328480436295
balloon_43,37.3558318587636,25.560969470812843,11.20912391609432,66.91265637408354,317.3313707762195,66.91265637408354,401.1240237750873,398.8444585968358,395.2679533998322,392.24544580051617,388.61796208264064,373.70880787471566,356.04872643087117,345.3457772441635,317.3313707762195,317.669767617101,317.4047806755897,314.6108984508034,313.19779908738883,311.5796084327766,312.96377407749867,295.8737757649003,293.09013871562206,14.292000000000002,209,66.99831340341463,317.3523979027416
balloon_44,64.8098192277216,-4.650282271190413,18.277735937683214,29.431462277097516,249.0564070906131,29.431462277097516,183.5458561040679,200.4812020124483,216.94930670930336,227.7501966687715,237.93091981321453,266.8413398072563,293.5920880325578,305.41109503971296,249.0564070906131,249.12158687680775,247.4859948315136,242.60374901395113,240.4068218243737,238.37078668442584,238.90711146664393,228.62822506257825,228.2154533493182,22.608,42,29.480799913421542,248.83800806784438
balloon_45,-84.20334558221286,156.48175017991542,5.869905205278068,7.053886484786982,189.20978735804584,7.053886484786982,41.11650877826741,37.87837344275294,35.117572112791045,33.59121172436254,32.17908888206475,29.034340088326076,27.560874221077565,27.306695777438016,189.20978735804584,191.71207963008865,199.05334629291465,208.6188003480968,215.1919372258911,222.2664692879039,239.12506513508671,271.64739932820095,281.16554016980456,25.236,183,7.061784388321552,189.16305342408256
balloon_46,-4.840432769308219,-168.9399273432448,21.156940705103068,13.566108308267276,93.02360575314329,13.566108308267276,82.41804708949715,82.68722089844938,82.62429165100914,82.99723919982057,83.08229946011731,82.70035286771818,81.95864009601212,81.59823693816462,93.02360575314329,93.64627908939178,94.5380176583526,95.2537512867122,95.871373457718,96.12226721540787,97.151568490172,97.347788041348,97.4201404574544,23.328000000000003,16,13.56183511129697,93.03005079964915
