icao,latitude,longitude,velocity,heading,vertical_rate,on_ground
a7e8b8,37.609,-117.5377,228.37,330.14,0.0,False
7c35e7,-37.5359,145.7968,150.25,244.22,-9.75,False
80162d,16.7149,87.2443,244.56,103.63,0.0,False
a21b5f,60.5322,-151.1881,82.0,172.43,-0.33,False
408121,28.2515,-82.5644,146.89,352.35,11.05,False
abd9d9,40.7905,-102.1222,258.49,52.2,0.0,False
880459,13.7849,101.3161,203.71,45.0,8.78,False
ab6fdd,27.5943,-80.1251,231.06,160.35,-12.35,False
8a02ff,-6.5691,108.2405,217.14,112.13,4.23,False
880458,13.919,100.605,4.89,298.12,,True
aaf633,38.9648,-107.2277,180.55,234.86,0.0,False
7c35f0,-37.3385,145.4041,56.48,159.75,-0.33,False
a34e6a,35.5467,-83.4826,189.81,333.09,0.65,False
aa56d5,39.3149,-94.7316,216.3,8.34,0.0,False
801649,19.9552,72.814,205.19,8.94,8.45,False
801648,28.6157,76.8019,165.65,270.0,17.56,False
7c6b1c,-34.3309,147.1133,184.55,218.44,0.0,False
7c6b1b,-41.201,147.0271,235.39,337.92,-2.93,False
acdfa6,42.3859,-70.8427,51.67,257.35,-2.93,False
51111d,18.7582,84.3266,230.27,232.9,0.0,False
aae316,36.5055,-87.604,194.74,245.33,0.0,False
7c6b39,-43.3331,170.7199,233.55,273.79,5.53,False
880441,12.9419,100.5314,201.32,172.51,12.03,False
7c6b37,-33.936,151.1782,1.29,191.25,,True
7c6b36,-42.7852,172.8629,195.07,21.83,5.2,False
a665c5,41.6077,-87.6886,170.28,154.6,10.08,False
880444,10.4571,99.3133,227.73,194.79,-0.33,False
511162,14.6774,77.9121,231.54,1.02,4.23,False
80160a,19.1486,73.1191,107.54,181.1,-8.78,False
7c35c6,-37.3432,137.2078,252.37,99.39,0.0,False
7c6b0e,-34.1852,147.2527,220.87,218.28,0.33,False
aaa6e4,38.8028,-11.5647,281.46,74.41,-0.33,False
801619,19.4648,72.7391,179.57,8.73,7.48,False
ac96be,32.7004,-111.1147,179.49,303.78,-10.73,False
80160e,17.9953,73.4809,170.84,331.2,-8.78,False
aaa6dd,17.9077,-66.5979,266.77,140.48,0.0,False
aa8c10,37.3152,-97.1775,143.99,329.04,-7.48,False
a808d7,29.4776,-91.6923,196.64,283.93,-2.6,False
a1fb33,35.0604,-93.1466,179.62,319.88,-7.8,False
ad5623,32.5105,-94.3752,288.45,101.73,0.0,False
7c2ebe,-38.1142,143.5119,51.32,317.03,-1.3,False
a1c5e0,34.6628,-118.0296,263.54,110.45,0.33,False
ac83aa,36.6983,-88.9221,230.8,330.64,0.0,False
801629,22.8115,88.8423,100.72,282.69,-4.88,False
a33b23,38.5861,-121.2417,67.7,233.65,-3.9,False
ac2f5a,36.6587,-88.2962,170.5,299.66,-5.2,False
a48850,57.5833,12.3854,212.52,344.99,0.0,False
a2ded8,39.9429,-104.4883,186.07,95.55,7.8,False
801633,13.5883,77.7594,180.79,327.08,10.08,False
a0e249,37.7576,-86.3356,197.27,87.16,-6.5,False
7c6b18,-37.6754,144.847,1.8,171.56,,True
a46e35,36.5189,-83.3629,251.09,29.45,0.0,False
7c6b17,-39.5724,174.3895,258.52,177.38,0.33,False
4952aa,-6.548,-37.1582,245.87,19.69,0.0,False
80161e,19.0905,72.8729,8.75,87.19,,True
ac2f83,32.339,-109.5486,210.23,285.91,0.0,False
ab0351,44.5987,-73.4377,58.28,339.33,-3.58,False
8a02d3,-4.7054,107.3149,221.8,12.46,0.0,False
8a02d4,-7.5651,109.2564,192.42,321.08,6.5,False
4952b1,31.8285,-14.8258,262.54,33.41,0.0,False
4952b3,41.8969,-75.6598,292.01,96.47,0.33,False
801683,15.8587,82.169,236.67,29.85,0.0,False
801689,28.4856,77.3155,95.38,317.19,-3.58,False
7c6b82,-27.5695,153.0044,15.44,91.91,-1.3,False
4bc8c8,40.1878,31.4245,212.49,284.44,-4.88,False
801688,18.7508,72.3292,53.41,352.81,0.65,False
ad3c1f,28.9047,-111.9837,234.3,320.61,0.0,False
4bc8c6,25.5728,54.1401,201.07,288.34,0.0,False
4bc8c5,40.5147,31.2589,248.07,104.9,7.48,False
801681,25.7322,90.8706,194.11,59.77,-8.78,False
e49446,-18.2461,-42.6069,226.77,36.79,0.0,False
ab0361,28.9716,-89.9918,196.89,279.93,0.33,False
abb3b6,33.4375,-111.9953,1.29,357.19,,True
7c725f,-37.8238,146.2342,79.9,151.12,0.0,False
80167f,27.9519,78.8179,175.78,296.04,-14.31,False
a2d2eb,36.9941,-83.748,205.78,359.71,-7.48,False
4952a3,31.7667,-14.8653,258.26,33.22,0.0,False
801698,26.2779,90.6483,232.24,99.69,0.0,False
a8e37c,33.6385,-84.4409,4.89,30.94,,True
a2d2f2,40.9873,-74.0737,176.83,231.5,0.0,False
80164f,27.2098,79.779,286.92,114.13,2.28,False
7c6b4d,-34.8326,150.6726,61.91,222.31,-4.23,False
e80276,-7.857,-79.2571,210.82,147.86,4.88,False
801661,26.6957,75.8436,205.39,204.25,5.53,False
e80279,-8.7919,-76.4049,240.89,207.06,0.0,False
801662,28.5682,77.1898,69.47,271.27,-3.58,False
4b185d,31.0686,-92.1578,286.14,122.52,-0.65,False
adecb6,33.6454,-84.4084,9.26,84.38,,True
a59530,33.0112,-86.971,124.25,273.8,0.0,False
e8026d,-12.8875,-76.7551,206.84,328.01,-10.08,False
80165e,13.7809,77.8232,179.64,9.89,9.43,False
a34e97,42.9512,-74.8965,269.26,98.24,0.0,False
a3689e,35.1015,-108.4954,180.16,271.96,-0.33,False
a3556f,43.0261,-75.4901,99.84,271.48,0.0,False
801674,19.0887,72.871,56.6,268.96,0.33,False
801675,19.2459,72.0479,65.12,134.04,-0.33,False
a46e6a,34.7968,-76.8195,280.04,17.2,0.33,False
801672,20.2876,72.8826,222.95,7.16,8.13,False
abf025,37.8797,-107.986,174.28,313.92,-0.33,False
a3b86c,33.1582,-84.2483,245.34,57.68,0.0,False
a4c527,42.361,-71.0198,0.26,81.56,,True
801671,22.0455,73.2956,250.61,19.92,0.0,False
ac21e4,42.1875,-95.2493,175.17,264.61,0.0,False
