icao,latitude,longitude,velocity,heading,vertical_rate,on_ground
a7e8b8,37.609,-117.5377,228.37,330.14,0.0,False
7c35e7,-37.5252,145.8247,150.71,244.31,-9.75,False
80162d,16.7149,87.2443,244.56,103.63,0.0,False
a21b5f,60.5449,-151.1922,77.49,169.29,-0.65,False
408121,28.2276,-82.5609,143.63,352.8,11.38,False
abd9d9,40.7644,-102.1663,258.08,52.13,0.0,False
880459,13.7618,101.2924,201.16,45.1,9.43,False
ab6fdd,27.6301,-80.1392,232.15,161.12,-15.93,False
8a02ff,-6.5546,108.2045,216.95,112.0,4.23,False
880458,13.9187,100.6055,5.4,303.75,,True
aaf633,38.9818,-107.1969,180.55,234.86,0.0,False
7c35f0,-37.33,145.4001,57.14,159.44,0.0,False
a34e6a,35.5192,-83.4655,190.96,333.09,0.33,False
aa56d5,39.2811,-94.7378,216.08,7.94,0.0,False
801649,19.9217,72.8085,204.09,8.84,7.8,False
801648,28.616,76.8326,165.19,268.57,16.26,False
7c6b1c,-34.3081,147.1352,184.55,218.44,0.0,False
7c6b1b,-41.2369,147.0464,238.35,337.81,7.8,False
acdfa6,42.3877,-70.832,52.91,256.5,-1.95,False
51111d,18.7582,84.3266,230.27,232.9,0.0,False
aae316,36.5189,-87.5681,194.96,245.19,0.0,False
7c6b39,-43.3356,170.7717,231.98,273.69,6.18,False
880441,12.9743,100.527,202.34,172.55,11.7,False
7c6b37,-33.936,151.1782,1.29,191.25,,True
7c6b36,-42.8143,172.8472,188.86,21.74,6.18,False
a665c5,41.6326,-87.7045,168.21,154.45,13.66,False
880444,10.4929,99.3229,228.09,194.63,0.33,False
511162,14.6515,77.9117,231.54,1.02,5.85,False
80160a,19.1654,73.119,107.32,175.6,-10.73,False
7c35c6,-37.3363,137.1554,252.37,99.39,0.0,False
7c6b0e,-34.1575,147.2791,220.87,218.28,0.0,False
aaa6e4,38.7905,-11.6213,280.97,74.39,0.0,False
801619,19.436,72.7343,177.1,9.02,17.56,False
ac96be,32.6836,-111.0851,181.63,303.92,-9.75,False
80160e,17.9711,73.4949,172.94,331.0,-8.78,False
aaa6dd,17.9415,-66.627,266.77,140.48,0.0,False
aa8c10,37.3152,-97.1775,143.99,329.04,-7.48,False
a808d7,29.4693,-91.6547,196.76,284.07,0.33,False
a1fb33,35.0378,-93.1235,180.74,319.96,-8.13,False
ad5623,32.5201,-94.4301,288.45,101.73,0.0,False
7c2ebe,-38.1202,143.5188,51.3,316.22,-1.3,False
a1c5e0,34.6777,-118.078,264.03,110.41,-0.33,False
ac83aa,36.6653,-88.899,231.25,330.7,0.0,False
801629,22.808,88.8589,100.72,282.69,-4.88,False
a33b23,38.5861,-121.2417,67.7,233.65,-3.9,False
ac2f5a,36.6456,-88.2677,170.24,299.51,-5.2,False
a48850,57.5505,12.4018,212.15,344.82,0.0,False
a2ded8,39.9457,-104.5259,172.2,95.83,4.55,False
801633,13.5369,77.7835,165.57,345.79,5.2,False
a0e249,37.7541,-86.3753,195.74,79.4,-3.9,False
7c6b18,-37.6754,144.847,1.8,171.56,,True
a46e35,36.4836,-83.3876,250.14,29.31,0.0,False
7c6b17,-39.5307,174.3871,264.69,177.44,0.0,False
4952aa,-6.5869,-37.1721,246.35,19.65,0.0,False
80161e,19.0905,72.8729,8.75,87.19,,True
ac2f83,32.3296,-109.5092,210.37,286.04,0.0,False
ab0351,44.5987,-73.4377,58.28,339.33,-3.58,False
8a02d3,-4.7559,107.3038,222.81,12.4,0.0,False
8a02d4,-7.5651,109.2564,192.42,321.08,6.5,False
4952b1,31.8285,-14.8258,262.54,33.41,0.0,False
4952b3,41.9022,-75.7234,290.87,96.3,-0.33,False
801683,15.8587,82.169,236.67,29.85,0.0,False
801689,28.4741,77.3276,100.84,317.27,-1.95,False
7c6b82,-27.569,153.0009,22.29,108.85,-0.98,False
4bc8c8,40.179,31.4688,211.62,284.64,-5.2,False
801688,18.7424,72.3303,53.92,352.87,0.0,False
ad3c1f,28.8746,-111.9558,234.37,320.79,0.0,False
4bc8c6,25.5625,54.1743,209.05,288.21,0.0,False
4bc8c5,40.5256,31.2076,247.89,105.65,5.85,False
801681,25.7322,90.8706,194.11,59.77,-8.78,False
e49446,-18.2461,-42.6069,226.77,36.79,0.0,False
ab0361,28.9661,-89.9558,196.98,280.08,0.0,False
abb3b6,33.4374,-111.9953,1.03,354.38,,True
7c725f,-37.8123,146.2263,80.31,152.12,0.0,False
80167f,27.9378,78.8503,177.39,295.97,-11.38,False
a2d2eb,36.9629,-83.7478,208.35,359.72,-8.45,False
4952a3,31.7667,-14.8653,258.26,33.22,0.0,False
801698,26.2843,90.6066,232.24,99.69,0.0,False
a2d2f2,41.0052,-74.0442,176.83,231.5,0.0,False
80164f,27.2634,79.6567,286.92,114.13,2.28,False
7c6b4d,-34.8326,150.6726,61.91,222.31,-4.23,False
e80276,-7.8283,-79.2752,208.25,147.92,4.88,False
801661,26.6957,75.8436,205.39,204.25,5.53,False
e80279,-8.5812,-76.2957,240.65,206.95,0.65,False
801662,28.5679,77.2029,76.68,271.54,-4.55,False
4b185d,31.0929,-92.202,287.28,122.49,0.33,False
adecb6,33.6454,-84.4106,11.32,90.0,,True
a59530,33.0071,-86.9431,123.91,284.67,0.0,False
80165e,13.7365,77.8152,178.12,9.98,10.4,False
a34e97,42.9575,-74.9552,269.33,98.35,-0.33,False
a3689e,35.1005,-108.4597,180.68,271.96,0.0,False
a3556f,43.0255,-75.4667,106.55,271.94,-0.33,False
801674,19.0887,72.871,56.6,268.96,0.33,False
801675,19.2548,72.0372,64.29,129.81,0.33,False
a46e6a,34.7527,-76.8361,280.19,17.3,0.33,False
801672,20.2504,72.8776,225.05,7.22,7.15,False
abf025,37.8599,-107.96,173.55,313.92,-0.33,False
a3b86c,33.1367,-84.2887,245.34,57.68,0.0,False
a4c527,42.361,-71.0198,0.26,81.56,,True
801671,22.0455,73.2956,250.61,19.92,0.0,False
ac21e4,42.1901,-95.2115,175.17,264.61,0.0,False
a94b51,34.971,-89.8649,150.23,179.41,-9.1,False
aa8075,42.6047,-91.3086,179.99,285.59,0.33,False
7c70ff,-32.2924,115.8114,46.27,188.31,6.83,False
a94b50,34.5462,-117.6371,202.26,283.68,0.0,False
0d0acd,40.0974,-115.9314,199.95,317.82,-0.33,False
abad94,33.355,-100.2748,277.74,107.46,0.0,False
ad9d88,32.6717,-107.199,56.3,160.24,0.0,False
708028,13.69,101.028,93.49,74.36,5.2,False
a7bbe9,40.8826,-73.1988,227.8,41.43,0.0,False
3c65a2,47.0473,16.8132,227.85,286.8,0.0,False
adda24,32.3854,-80.2273,207.32,186.98,0.0,False
